Date,SolRad,Precip,LightningAct,LightningDist,WindDir,WindSpeed,GustSpeed,AirTemp,VaporPr,AtmosPr,XLevel,YLevel,MaxPrecip,RHSensorTemp,VPD,BatPct,BatVolt,RefPr,LogTemp
12/11/20 21:15,0,0,0,0,11,0.95,1.43,4,0.68,98.58,-1.3,0.7,0,3.7,0.13,97,7776,98.37,1.9
12/11/20 21:30,0,0,0,0,23,0.75,1.34,3.9,0.68,98.59,-1.3,0.8,0,3.7,0.13,97,7777,98.38,2
12/11/20 21:45,0,0,0,0,11,0.73,1.12,3.9,0.671,98.6,-1.4,0.8,0,3.6,0.13,97,7778,98.39,1.9
12/11/20 22:00,0,0,0,0,355,0.84,1.22,3.7,0.67,98.63,-1.3,0.8,0,3.4,0.12,97,7776,98.41,1.7
12/11/20 22:15,0,0,0,0,9,0.93,1.44,3.7,0.67,98.65,-1.3,0.8,0,3.2,0.12,97,7776,98.42,1.5
12/11/20 22:30,0,0,0,0,10,1.07,1.56,4.1,0.674,98.67,-1.3,0.8,0,3.3,0.15,97,7775,98.43,1.3
12/11/20 22:45,0,0,0,0,4,0.98,1.37,4.3,0.684,98.66,-1.4,0.8,0,3.5,0.15,97,7776,98.44,1.3
12/11/20 23:00,0,0,0,0,341,0.91,1.37,4.5,0.689,98.68,-1.4,0.8,0,3.7,0.15,97,7775,98.46,1.4
12/11/20 23:15,0,0,0,0,350,1.01,1.32,4.1,0.68,98.67,-1.3,0.8,0,3.7,0.14,96,7774,98.45,1.5
12/11/20 23:30,0,0,0,0,354,1.01,1.34,4,0.679,98.68,-1.3,0.8,0,3.7,0.13,96,7774,98.45,1.3
12/11/20 23:45,0,0,0,0,4,1.22,1.84,4,0.67,98.66,-1.3,0.8,0,3.4,0.14,96,7774,98.43,1
12/12/20 0:00,0,0,0,0,10,1.25,1.76,4.2,0.676,98.64,-1.4,0.8,0,3.5,0.15,97,7776,98.41,1.3
12/12/20 0:15,0,0,0,0,11,1.16,1.69,4.4,0.689,98.64,-1.3,0.8,0,3.7,0.15,93,7743,98.42,1.8
12/12/20 0:30,0,0,0,0,12,1.16,1.6,4.4,0.681,98.65,-1.3,0.7,0,3.7,0.15,94,7757,98.43,2.2
12/12/20 0:45,0,0,0,0,25,0.94,1.41,4.3,0.68,98.64,-1.3,0.8,0,3.7,0.15,95,7760,98.42,2.1
12/12/20 1:00,0,0,0,0,17,0.73,1.33,4.2,0.681,98.65,-1.4,0.8,0,3.7,0.15,94,7757,98.44,2.1
12/12/20 1:15,0,0,0,0,7,0.51,0.91,3.9,0.687,98.67,-1.3,0.8,0,3.6,0.12,95,7760,98.44,2
12/12/20 1:30,0,0,0,0,13,0.6,1.09,3.8,0.677,98.68,-1.3,0.8,0,3.3,0.13,95,7762,98.45,1.7
12/12/20 1:45,0,0,0,0,16,0.47,0.97,3.4,0.669,98.7,-1.3,0.8,0,3,0.11,95,7759,98.46,1.4
12/12/20 2:00,0,0,0,0,10,0.72,3.37,3.9,0.673,98.71,-1.3,0.8,0,2.9,0.13,95,7759,98.47,1.4
12/12/20 2:15,0,0,0,0,13,0.52,1.52,4.2,0.689,98.72,-1.3,0.8,0,3.2,0.13,94,7757,98.48,1.7
12/12/20 2:30,0,0,0,0,22,0.51,0.87,4.1,0.69,98.73,-1.3,0.8,0,3.4,0.13,94,7754,98.49,1.8
12/12/20 2:45,0,0,0,0,30,0.37,0.77,3.8,0.687,98.72,-1.4,0.8,0,3.3,0.11,95,7758,98.48,1.6
12/12/20 3:00,0,0,0,0,16,0.41,0.7,3.6,0.679,98.72,-1.3,0.8,0,3,0.11,94,7755,98.47,1.4
12/12/20 3:15,0,0,0,0,110,0.32,0.95,2.2,0.652,98.72,-1.3,0.8,0,2.6,0.07,94,7755,98.48,1
12/12/20 3:30,0,0,0,0,17,0.69,1.09,1.8,0.619,98.71,-1.3,0.8,0,1.8,0.08,94,7755,98.46,0.3
12/12/20 3:45,0,0,0,0,338,0.48,1.03,1.6,0.61,98.72,-1.3,0.8,0,1.3,0.07,94,7754,98.45,-0.2
12/12/20 4:00,0,0,0,0,342,0.5,0.91,1.2,0.602,98.71,-1.3,0.8,0,0.9,0.06,94,7753,98.43,-0.6
12/12/20 4:15,0,0,0,0,350,0.64,1.04,1,0.6,98.72,-1.3,0.8,0,0.6,0.06,94,7751,98.42,-1
12/12/20 4:30,0,0,0,0,15,0.49,0.81,0.8,0.59,98.71,-1.3,0.8,0,0.3,0.06,94,7752,98.41,-1.2
12/12/20 4:45,0,0,0,0,348,0.45,1.3,0.7,0.59,98.71,-1.3,0.8,0,0.1,0.05,93,7748,98.41,-1.3
12/12/20 5:00,0,0,0,0,334,0.57,1.25,0.9,0.599,98.71,-1.3,0.9,0,0.3,0.05,94,7752,98.41,-1
12/12/20 5:15,0,0,0,0,348,0.53,0.98,0.9,0.611,98.68,-1.3,0.9,0,0.5,0.04,94,7751,98.39,-0.8
12/12/20 5:30,0,0,0,0,4,0.56,0.79,0.9,0.617,98.67,-1.3,0.9,0,0.5,0.03,94,7751,98.38,-0.8
12/12/20 5:45,0,0,0,0,336,0.57,1.09,0.5,0.609,98.65,-1.3,0.8,0,0.4,0.03,94,7753,98.35,-1
12/12/20 6:00,0,0,0,0,354,0.97,1.61,0.6,0.6,98.66,-1.3,0.8,0,0.2,0.04,94,7750,98.36,-1.3
12/12/20 6:15,0,0,0,0,358,0.67,1.46,0.7,0.605,98.7,-1.3,0.8,0,0.2,0.04,93,7748,98.4,-1.2
12/12/20 6:30,0,0,0,0,341,0.31,0.53,0.4,0.61,98.72,-1.2,0.8,0,0.3,0.02,93,7746,98.42,-1.2
12/12/20 6:45,0,0,0,0,169,0.3,0.82,0.2,0.601,98.7,-1.2,0.9,0,0,0.02,93,7746,98.4,-1.2
12/12/20 7:00,0,0,0,0,289,0.89,1.97,1,0.608,98.7,-1.2,0.8,0,0.2,0.05,93,7747,98.4,-1
12/12/20 7:15,0.2,0,0,0,306,0.54,1.1,1.2,0.627,98.71,-1.3,0.8,0,0.6,0.04,93,7745,98.41,-0.7
12/12/20 7:30,1,0,0,0,269,0.63,2.3,1.3,0.64,98.7,-1.3,0.9,0,0.9,0.03,93,7746,98.41,-0.4
12/12/20 7:45,6.3,0,0,0,253,1.36,2.58,1.5,0.649,98.67,-1.3,0.8,0,1,0.03,93,7745,98.38,-0.1
12/12/20 8:00,14.5,0,0,0,253,0.97,2.06,1.5,0.66,98.65,-1.3,0.8,0,1.3,0.02,93,7745,98.38,0.1
12/12/20 8:15,15.7,0,0,0,235,0.62,1.74,1.5,0.661,98.64,-1.4,0.8,0,1.3,0.02,93,7745,98.37,0.3
12/12/20 8:30,18.1,0,0,0,232,1.16,2.79,2,0.673,98.61,-1.3,0.8,0,1.5,0.03,93,7743,98.35,0.5
12/12/20 8:45,30.3,0,0,0,221,2.07,4.52,2.6,0.695,98.58,-1.4,0.8,0,2,0.04,93,7746,98.32,1
12/12/20 9:00,64.8,0,0,0,230,2.14,4.65,3.1,0.727,98.56,-1.3,0.8,0,2.8,0.04,93,7746,98.3,1.5
12/12/20 9:15,114.5,0,0,0,259,2.02,3.15,3.5,0.744,98.58,-1.7,0.5,0,3.3,0.04,94,7752,98.35,2.2
12/12/20 9:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,94,7752,98.4,3
12/12/20 9:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,94,7754,98.36,3.2
12/12/20 10:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,94,7757,98.37,3.4
12/12/20 10:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,95,7762,98.36,3.8
12/12/20 10:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,95,7764,98.35,4.3
12/12/20 10:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,95,7764,98.31,4.5
12/12/20 11:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,95,7765,98.3,4.6
12/12/20 11:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,95,7765,98.31,4.8
12/12/20 11:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,95,7766,98.28,4.9
12/12/20 11:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7767,98.21,4.8
12/12/20 12:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7771,98.16,4.9
12/12/20 12:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7770,98.14,5
12/12/20 12:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7774,98.08,5.2
12/12/20 12:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7775,98.08,5.6
12/12/20 13:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7776,98.03,6
12/12/20 13:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7780,98.01,6.4
12/12/20 13:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7783,97.99,7.1
12/12/20 13:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,98,7786,97.98,7.4
12/12/20 14:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,98,7786,97.95,7.6
12/12/20 14:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,98,7789,97.92,7.6
12/12/20 14:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,98,7786,97.9,7.2
12/12/20 14:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,98,7784,97.87,7
12/12/20 15:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,98,7784,97.83,6.8
12/12/20 15:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,98,7784,97.82,6.7
12/12/20 15:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7783,97.83,6.5
12/12/20 15:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7783,97.82,6.4
12/12/20 16:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,98,7786,97.8,6.2
12/12/20 16:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7783,97.78,6.1
12/12/20 16:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7783,97.75,5.7
12/12/20 16:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,98,7784,97.72,5.3
12/12/20 17:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7783,97.72,5.1
12/12/20 17:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7782,97.71,5
12/12/20 17:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7783,97.7,4.9
12/12/20 17:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7779,97.68,4.8
12/12/20 18:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7782,97.68,4.9
12/12/20 18:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7778,97.69,4.9
12/12/20 18:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7782,97.68,4.9
12/12/20 18:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7778,97.64,4.9
12/12/20 19:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7779,97.65,4.8
12/12/20 19:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7779,97.67,4.8
12/12/20 19:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7778,97.67,4.7
12/12/20 19:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7778,97.67,4.8
12/12/20 20:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7778,97.67,5.9
12/12/20 20:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7777,97.66,7
12/12/20 20:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7780,97.64,7.4
12/12/20 20:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,98,7784,97.65,7.7
12/12/20 21:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7781,97.66,7.9
12/12/20 21:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7781,97.67,8
12/12/20 21:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7780,97.67,8.1
12/12/20 21:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7780,97.66,8
12/12/20 22:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7780,97.61,7.9
12/12/20 22:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7780,97.61,7.9
12/12/20 22:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7779,97.64,7.9
12/12/20 22:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7778,97.63,7.7
12/12/20 23:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7779,97.6,7.7
12/12/20 23:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7779,97.58,7.9
12/12/20 23:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7777,97.57,8
12/12/20 23:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7776,97.55,7.8
12/13/20 0:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97,7780,97.55,7.8
12/13/20 0:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,95,7760,97.56,8.2
12/13/20 0:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7767,97.55,8.3
12/13/20 0:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7767,97.53,8.2
12/13/20 1:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,95,7766,97.53,8.2
12/13/20 1:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7770,97.53,8.4
12/13/20 1:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7767,97.53,8.6
12/13/20 1:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7767,97.54,8.8
12/13/20 2:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7768,97.54,8.8
12/13/20 2:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7768,97.52,8.6
12/13/20 2:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7767,97.53,8.7
12/13/20 2:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7769,97.54,9
12/13/20 3:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7768,97.56,9.2
12/13/20 3:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7770,97.55,9.4
12/13/20 3:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7769,97.55,9.4
12/13/20 3:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7770,97.55,9.6
12/13/20 4:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7772,97.53,9.6
12/13/20 4:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7768,97.54,9.5
12/13/20 4:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7770,97.56,9.6
12/13/20 4:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7771,97.61,9.7
12/13/20 5:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7767,97.64,9.5
12/13/20 5:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7770,97.64,9.2
12/13/20 5:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7769,97.64,8.9
12/13/20 5:45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7769,97.63,8.6
12/13/20 6:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,95,7766,97.65,8.4
12/13/20 6:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96,7767,97.66,8.2
12/13/20 6:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,95,7766,97.7,8
